employee_id,year,seniority_level,salary_usd
15,2020,Junior,37082.43
15,2021,Mid,40511.51
15,2022,Mid,42361.81
15,2023,Senior,47814.79
15,2024,Lead,55278.41
15,2025,Manager,63698.39
16,2015,Lead,324411.84
16,2016,Lead,341819.73
16,2017,Lead,358922.86
16,2018,Lead,372315.44
16,2019,Lead,389129.87
16,2020,Lead,402886.22
16,2021,Lead,421895.96
16,2022,Lead,439286.81
16,2023,Lead,454270.1
16,2024,Lead,472721.35
16,2025,Lead,489539.19
17,2018,Lead,80471.63
17,2019,Lead,83705.84
17,2020,Lead,87462.26
17,2021,Lead,90191.17
17,2022,Lead,92992.31
17,2023,Lead,97249.97
17,2024,Lead,100871.5
17,2025,Lead,103459.53
18,2021,Junior,85439.42
18,2022,Junior,89400.15
18,2023,Junior,92236.7
18,2024,Junior,96717.55
18,2025,Junior,100612.85
19,2016,Lead,144529.39
19,2017,Lead,153350.63
19,2018,Lead,160654.93
19,2019,Lead,165805.23
19,2020,Lead,174237.34
19,2021,Lead,179633.74
19,2022,Lead,185344.72
19,2023,Lead,190893.04
19,2024,Lead,198135.06
19,2025,Lead,204965.68
20,2022,Mid,49003.16
20,2023,Mid,50842.2
20,2024,Senior,55027.2
20,2025,Senior,56689.09
21,2024,Senior,41474.88
21,2025,Senior,42873.74
22,2017,Mid,41895.88
22,2018,Mid,44112.99
22,2019,Mid,46767.73
22,2020,Mid,47924.77
22,2021,Mid,49210.49
22,2022,Mid,51762.37
22,2023,Mid,53434.47
22,2024,Mid,55624.96
22,2025,Mid,57679.77
23,2014,Senior,92732.82
23,2015,Senior,97439.91
23,2016,Senior,100812.6
23,2017,Senior,104931.88
23,2018,Senior,109341.9
23,2019,Senior,114317.52
23,2020,Senior,116863.52
23,2021,Senior,121670.33
23,2022,Senior,126246.52
23,2023,Senior,130371.95
23,2024,Senior,137336.4
23,2025,Senior,141591.98
24,2020,Mid,77602.64
24,2021,Mid,81070.29
24,2022,Senior,90534.17
24,2023,Senior,93728.73
24,2024,Senior,96332.29
24,2025,Senior,100387.15
25,2016,Mid,73499.09
25,2017,Mid,75919.8
25,2018,Mid,77870.43
25,2019,Mid,80426.68
25,2020,Mid,82583.59
25,2021,Mid,85968.37
25,2022,Mid,89484.08
25,2023,Mid,93198.51
25,2024,Mid,97138.38
25,2025,Mid,101613.14
26,2020,Senior,120548.88
26,2021,Senior,123236.18
26,2022,Senior,127866.7
26,2023,Senior,132965.92
26,2024,Senior,137898.87
26,2025,Senior,143143.5
27,2018,Senior,88191.77
27,2019,Senior,91622.25
27,2020,Lead,102920.02
27,2021,Lead,105045.48
27,2022,Lead,110013.02
27,2023,Lead,114469.73
27,2024,Lead,117181.52
27,2025,Lead,122342.23
28,2021,Junior,45490.85
28,2022,Junior,47172.97
28,2023,Junior,49502.06
28,2024,Junior,50882.41
28,2025,Mid,54690.76
29,2022,Senior,314112.34
29,2023,Senior,325561.04
29,2024,Senior,337811.23
29,2025,Senior,347383.9
30,2016,Senior,229613.07
30,2017,Senior,240478.98
30,2018,Senior,249766.68
30,2019,Senior,262918.52
30,2020,Senior,274377.43
30,2021,Senior,282052.35
30,2022,Senior,299149.26
30,2023,Senior,316120.1
30,2024,Senior,328081.45
30,2025,Senior,342484.28
31,2014,Manager,120656.94
31,2015,Manager,125742.64
31,2016,Manager,130420.72
31,2017,Manager,136784.19
31,2018,Manager,142703.78
31,2019,Manager,147216.71
31,2020,Manager,156292.93
31,2021,Manager,162776.23
31,2022,Manager,168869.68
31,2023,Manager,173896.38
31,2024,Manager,179494.3
31,2025,Manager,188381.71
32,2014,Mid,165357.68
32,2015,Mid,173367.85
32,2016,Mid,180571.03
32,2017,Mid,186110.51
32,2018,Mid,193994.99
32,2019,Mid,199012.09
32,2020,Mid,204343.05
32,2021,Mid,209649.0
32,2022,Mid,220330.1
32,2023,Mid,227576.49
32,2024,Mid,234712.68
32,2025,Mid,245944.93
33,2020,Mid,62112.75
33,2021,Senior,72370.06
33,2022,Senior,74998.18
33,2023,Lead,90098.92
33,2024,Lead,93941.78
33,2025,Manager,103030.3
34,2019,Senior,193400.76
34,2020,Senior,204437.84
34,2021,Senior,213990.47
34,2022,Senior,220636.1
34,2023,Lead,227737.28
34,2024,Manager,231690.58
34,2025,Manager,244664.41
35,2023,Mid,93213.76
35,2024,Mid,97829.46
35,2025,Senior,100008.17
36,2016,Senior,102577.58
36,2017,Lead,108582.21
36,2018,Lead,113291.3
36,2019,Lead,116632.65
36,2020,Lead,122426.3
36,2021,Lead,128696.21
36,2022,Lead,134249.74
36,2023,Lead,138748.63
36,2024,Lead,143754.14
36,2025,Lead,150131.48
37,2017,Senior,53135.96
37,2018,Senior,54393.71
37,2019,Senior,57059.89
37,2020,Senior,58490.76
37,2021,Senior,60893.62
37,2022,Senior,63256.83
37,2023,Senior,65826.8
37,2024,Senior,67206.51
37,2025,Senior,70062.18
38,2023,Mid,65752.69
38,2024,Mid,68867.71
38,2025,Mid,71861.96
39,2016,Senior,152879.89
39,2017,Senior,157234.56
39,2018,Lead,156180.76
39,2019,Lead,163154.03
39,2020,Lead,166806.61
39,2021,Manager,168412.85
39,2022,Manager,172336.84
39,2023,Director,173169.65
39,2024,Director,180262.44
39,2025,Director,185290.74
40,2018,Mid,125059.73
40,2019,Mid,130554.32
40,2020,Mid,135270.08
40,2021,Mid,139893.0
40,2022,Senior,135467.67
40,2023,Senior,142155.15
40,2024,Lead,143790.25
40,2025,Lead,147537.83
41,2025,Mid,138038.47
42,2023,Mid,77898.33
42,2024,Mid,79782.92
42,2025,Mid,83039.53
43,2020,Lead,112439.62
43,2021,Lead,115600.37
43,2022,Lead,118673.34
43,2023,Lead,122655.25
43,2024,Lead,126105.9
43,2025,Lead,129900.01
44,2019,Junior,33329.96
44,2020,Junior,34273.86
44,2021,Junior,35511.58
44,2022,Junior,36314.74
44,2023,Junior,37618.22
44,2024,Junior,38916.34
44,2025,Mid,41738.02
45,2014,Mid,90118.26
45,2015,Mid,94667.02
45,2016,Mid,98378.04
45,2017,Mid,101549.26
45,2018,Mid,104937.98
45,2019,Mid,108398.04
45,2020,Mid,112685.67
45,2021,Mid,117057.18
45,2022,Mid,122197.72
45,2023,Mid,128142.11
45,2024,Mid,133659.05
45,2025,Mid,140445.23
46,2018,Lead,73550.46
46,2019,Lead,76513.8
46,2020,Lead,80735.63
46,2021,Lead,84026.13
46,2022,Lead,87813.73
46,2023,Lead,89966.21
46,2024,Lead,93025.64
46,2025,Lead,97000.7
47,2014,Manager,62095.72
47,2015,Manager,64100.94
47,2016,Manager,66436.5
47,2017,Manager,70523.93
47,2018,Manager,73380.12
47,2019,Manager,76559.27
47,2020,Manager,79866.29
47,2021,Director,83646.88
47,2022,Director,86740.2
47,2023,Director,89228.88
47,2024,Director,91811.33
47,2025,Director,96638.67
48,2021,Mid,50699.5
48,2022,Senior,52301.93
48,2023,Senior,54327.12
48,2024,Lead,59198.22
48,2025,Lead,60812.26
49,2015,Mid,58218.82
49,2016,Mid,59900.65
49,2017,Mid,62126.12
49,2018,Mid,64285.06
49,2019,Mid,66021.47
49,2020,Mid,67558.0
49,2021,Mid,69187.11
49,2022,Mid,71754.63
49,2023,Mid,73900.02
49,2024,Mid,75710.87
49,2025,Senior,80090.84
50,2018,Senior,135838.71
50,2019,Senior,143554.76
50,2020,Senior,150231.76
50,2021,Senior,155863.71
50,2022,Senior,163898.09
50,2023,Senior,171793.34
50,2024,Lead,163562.78
50,2025,Lead,172552.82
51,2014,Junior,73384.96
51,2015,Junior,76520.51
51,2016,Junior,80205.37
51,2017,Junior,83343.55
51,2018,Junior,87119.51
51,2019,Junior,90837.96
51,2020,Junior,94459.6
51,2021,Junior,98705.2
51,2022,Junior,101854.86
51,2023,Junior,105561.88
51,2024,Junior,108845.9
51,2025,Junior,113666.69
52,2020,Junior,79334.52
52,2021,Junior,82182.91
52,2022,Junior,87022.37
52,2023,Junior,90982.92
52,2024,Junior,95288.67
52,2025,Junior,100073.89
53,2014,Senior,137985.66
53,2015,Senior,141168.53
53,2016,Senior,148944.83
53,2017,Senior,155825.91
53,2018,Senior,163646.82
53,2019,Senior,172542.17
53,2020,Senior,180402.37
53,2021,Senior,188060.35
53,2022,Senior,198512.65
53,2023,Senior,210507.19
53,2024,Senior,222183.68
53,2025,Lead,212436.72
54,2020,Director,70413.64
54,2021,Director,74981.26
54,2022,Director,77953.37
54,2023,VP,86756.03
54,2024,VP,90643.31
54,2025,VP,96354.63
55,2019,Manager,183975.81
55,2020,Manager,193171.79
55,2021,Manager,202503.3
55,2022,Manager,208385.9
55,2023,Manager,215815.8
55,2024,Manager,224434.53
55,2025,Manager,233135.36
56,2020,Mid,88147.69
56,2021,Mid,90416.46
56,2022,Senior,96577.08
56,2023,Senior,101381.45
56,2024,Lead,110183.95
56,2025,Manager,119930.1
57,2024,Senior,94763.13
57,2025,Senior,98787.85
58,2021,VP,307354.7
58,2022,VP,317718.27
58,2023,VP,325546.28
58,2024,VP,338195.43
58,2025,VP,345945.99
59,2024,Junior,48276.76
59,2025,Junior,49729.41
60,2016,Intern,66078.07
60,2017,Intern,69566.58
60,2018,Junior,74662.33
60,2019,Junior,77783.47
60,2020,Junior,81185.89
60,2021,Junior,84502.93
60,2022,Mid,90405.38
60,2023,Mid,93642.44
60,2024,Senior,104417.34
60,2025,Lead,123674.26
61,2024,Mid,159527.03
61,2025,Mid,164488.82
62,2015,Senior,194246.36
62,2016,Senior,201933.53
62,2017,Senior,207558.78
62,2018,Senior,214247.19
62,2019,Senior,223342.64
62,2020,Senior,231489.89
62,2021,Senior,236366.87
62,2022,Senior,245437.97
62,2023,Senior,253908.56
62,2024,Senior,263278.25
62,2025,Senior,270303.7
63,2025,Mid,78854.41
64,2018,Manager,77825.29
64,2019,Manager,79904.01
64,2020,Manager,82973.89
64,2021,Manager,85157.64
64,2022,Manager,89244.8
64,2023,Manager,92873.51
64,2024,Manager,95494.77
64,2025,Manager,97964.75
65,2014,Mid,236083.96
65,2015,Senior,238448.57
65,2016,Senior,245357.33
65,2017,Senior,256951.54
65,2018,Senior,269883.16
65,2019,Senior,283550.81
65,2020,Senior,293779.68
65,2021,Senior,306732.4
65,2022,Senior,320655.51
65,2023,Senior,333025.39
65,2024,Senior,347791.68
65,2025,Senior,365662.98
66,2018,Senior,90725.7
66,2019,Senior,95601.35
66,2020,Senior,99804.67
66,2021,Senior,105033.9
66,2022,Senior,112419.01
66,2023,Senior,118724.19
66,2024,Lead,135296.06
66,2025,Lead,138914.09
67,2020,Senior,147750.11
67,2021,Senior,152757.85
67,2022,Senior,157641.96
67,2023,Senior,162880.99
67,2024,Senior,167683.4
67,2025,Senior,174477.82
68,2021,Manager,154264.95
68,2022,Manager,162051.17
68,2023,Manager,166056.72
68,2024,Director,180352.18
68,2025,Director,187614.07
69,2017,Senior,139128.18
69,2018,Senior,145637.69
69,2019,Senior,150161.96
69,2020,Senior,157074.64
69,2021,Senior,161608.16
69,2022,Senior,166390.53
69,2023,Senior,171457.49
69,2024,Senior,178313.93
69,2025,Senior,185928.41
70,2021,Mid,100919.5
70,2022,Mid,104004.7
70,2023,Senior,109886.56
70,2024,Lead,121071.96
70,2025,Manager,130104.73
71,2015,Junior,56668.17
71,2016,Junior,58775.43
71,2017,Junior,61155.38
71,2018,Junior,63478.13
71,2019,Junior,65625.8
71,2020,Junior,67716.75
71,2021,Mid,64814.89
71,2022,Mid,66359.63
71,2023,Mid,68744.95
71,2024,Mid,71819.61
71,2025,Senior,71745.89
72,2018,Mid,26461.11
72,2019,Mid,27273.74
72,2020,Mid,28580.36
72,2021,Mid,29809.45
72,2022,Mid,31197.46
72,2023,Mid,32065.49
72,2024,Mid,33129.62
72,2025,Mid,33966.51
73,2024,Manager,122346.59
73,2025,Manager,126262.37
74,2016,VP,408984.32
74,2017,VP,429780.29
74,2018,VP,452786.27
74,2019,VP,475946.55
74,2020,VP,494286.01
74,2021,VP,523323.19
74,2022,VP,545844.44
74,2023,VP,570505.34
74,2024,VP,601991.0
74,2025,VP,627461.64
75,2017,Mid,50041.46
75,2018,Mid,52530.83
75,2019,Mid,55758.75
75,2020,Mid,58083.56
75,2021,Mid,59625.97
75,2022,Mid,62059.24
75,2023,Mid,65362.59
75,2024,Mid,67836.25
75,2025,Mid,71014.09
76,2025,Manager,88461.29
77,2022,Mid,50113.61
77,2023,Mid,51882.96
77,2024,Mid,54154.12
77,2025,Mid,55965.3
78,2022,Senior,86565.5
78,2023,Senior,89364.79
78,2024,Lead,96762.63
78,2025,Lead,98779.21
79,2023,Manager,199624.81
79,2024,Manager,207565.32
79,2025,Manager,213306.99
80,2022,Mid,90564.63
80,2023,Mid,94199.82
80,2024,Senior,100239.07
80,2025,Senior,104655.75
81,2014,Manager,105739.18
81,2015,Manager,110552.81
81,2016,Manager,114982.91
81,2017,Manager,119155.14
81,2018,Manager,122559.9
81,2019,Manager,126820.49
81,2020,Manager,132312.26
81,2021,Manager,138809.56
81,2022,Manager,142947.42
81,2023,Manager,148203.81
81,2024,Director,148245.28
81,2025,Director,153984.58
82,2016,Senior,104908.55
82,2017,Senior,109997.35
82,2018,Senior,112482.6
82,2019,Senior,117917.09
82,2020,Senior,123369.71
82,2021,Senior,128400.86
82,2022,Senior,131180.71
82,2023,Senior,137471.17
82,2024,Senior,142869.58
82,2025,Senior,145742.29
83,2018,Senior,187008.85
83,2019,Senior,195060.03
83,2020,Senior,205656.34
83,2021,Senior,216869.3
83,2022,Senior,228130.01
83,2023,Senior,241984.43
83,2024,Senior,253021.31
83,2025,Senior,264352.37
84,2019,Mid,80018.24
84,2020,Mid,82452.31
84,2021,Mid,84308.86
84,2022,Senior,93185.74
84,2023,Senior,96058.17
84,2024,Senior,98799.59
84,2025,Lead,111024.77
85,2023,Senior,67596.59
85,2024,Senior,71490.36
85,2025,Senior,76174.51
86,2020,Mid,179409.73
86,2021,Mid,184010.12
86,2022,Senior,180830.2
86,2023,Lead,184898.08
86,2024,Lead,191768.6
86,2025,Lead,198260.33
87,2020,Lead,84264.9
87,2021,Lead,88050.31
87,2022,Lead,92133.51
87,2023,Lead,96060.75
87,2024,Lead,100386.98
87,2025,Lead,103582.71
88,2014,Senior,105494.91
88,2015,Senior,109911.42
88,2016,Lead,118336.58
88,2017,Lead,121663.5
88,2018,Lead,124657.26
88,2019,Lead,128665.43
88,2020,Lead,134384.1
88,2021,Lead,137428.32
88,2022,Lead,144236.69
88,2023,Lead,150670.19
88,2024,Lead,153695.37
88,2025,Manager,156519.85
89,2022,Lead,148816.8
89,2023,Lead,152138.98
89,2024,Lead,156736.32
89,2025,Lead,160993.11
90,2024,Lead,61690.4
90,2025,Lead,64795.61
91,2022,Junior,31932.15
91,2023,Junior,33780.84
91,2024,Junior,35285.53
91,2025,Junior,36852.8
92,2024,Senior,123778.21
92,2025,Senior,130134.15
93,2016,Senior,186708.17
93,2017,Lead,196231.2
93,2018,Lead,203496.84
93,2019,Manager,212990.8
93,2020,Manager,223405.81
93,2021,Manager,228913.76
93,2022,Manager,234380.47
93,2023,Director,241951.14
93,2024,VP,270234.16
93,2025,VP,277857.47
94,2023,Senior,89277.17
94,2024,Senior,93037.71
94,2025,Senior,95309.87
95,2023,Mid,81854.6
95,2024,Mid,84794.57
95,2025,Mid,89290.24
96,2024,Manager,141936.29
96,2025,Manager,149879.2
97,2018,Junior,71962.88
97,2019,Mid,76732.53
97,2020,Mid,81449.58
97,2021,Senior,91807.78
97,2022,Senior,95593.16
97,2023,Senior,98957.97
97,2024,Senior,104140.57
97,2025,Senior,107040.86
98,2017,Senior,178544.38
98,2018,Senior,183246.03
98,2019,Senior,192873.11
98,2020,Senior,200132.14
98,2021,Senior,208135.68
98,2022,Lead,216500.13
98,2023,Lead,223319.3
98,2024,Lead,230295.25
98,2025,Lead,239875.35
99,2023,Junior,90456.62
99,2024,Mid,100609.1
99,2025,Mid,104941.18
100,2025,Senior,105529.22
101,2015,Junior,77764.93
101,2016,Junior,81495.84
101,2017,Junior,84835.43
101,2018,Junior,88851.01
101,2019,Junior,93090.46
101,2020,Junior,96917.14
101,2021,Junior,101424.31
101,2022,Junior,105649.59
101,2023,Mid,105608.05
101,2024,Mid,112034.99
101,2025,Mid,114948.22
102,2025,Mid,75083.8
103,2019,Mid,54456.48
103,2020,Mid,57421.45
103,2021,Senior,65331.27
103,2022,Senior,67453.4
103,2023,Lead,77541.89
103,2024,Manager,89812.4
103,2025,Manager,93116.25
104,2015,Junior,80568.59
104,2016,Junior,85582.23
104,2017,Junior,88771.46
104,2018,Junior,94291.48
104,2019,Junior,98412.66
104,2020,Mid,100585.31
104,2021,Mid,105130.65
104,2022,Mid,108292.18
104,2023,Mid,112848.38
104,2024,Mid,116607.82
104,2025,Mid,121745.44
105,2023,Mid,85058.88
105,2024,Senior,94252.92
105,2025,Lead,106688.2
106,2022,Mid,105601.04
106,2023,Senior,106097.5
106,2024,Senior,110564.23
106,2025,Senior,116838.56
107,2019,Intern,18002.43
107,2020,Intern,18762.69
107,2021,Junior,23104.7
107,2022,Junior,24389.13
107,2023,Junior,25456.68
107,2024,Mid,31642.4
107,2025,Mid,33109.3
108,2014,Junior,37786.76
108,2015,Junior,39234.35
108,2016,Junior,40408.48
108,2017,Junior,42479.92
108,2018,Junior,44221.13
108,2019,Junior,45741.82
108,2020,Junior,47679.25
108,2021,Junior,49112.84
108,2022,Mid,48055.75
108,2023,Mid,49650.57
108,2024,Mid,51945.1
108,2025,Mid,54595.74
109,2015,Junior,67939.02
109,2016,Junior,69590.89
109,2017,Junior,71762.92
109,2018,Junior,73623.01
109,2019,Junior,75706.02
109,2020,Mid,78475.5
109,2021,Senior,84531.05
109,2022,Senior,88562.4
109,2023,Senior,92241.83
109,2024,Lead,100671.52
109,2025,Lead,104933.91
110,2025,Mid,83134.04
111,2018,Junior,59921.4
111,2019,Junior,61740.94
111,2020,Junior,63857.12
111,2021,Mid,66521.07
111,2022,Mid,68086.87
111,2023,Senior,74495.69
111,2024,Senior,77974.51
111,2025,Senior,80988.66
112,2019,Senior,55736.37
112,2020,Senior,57320.11
112,2021,Senior,58928.22
112,2022,Senior,61368.1
112,2023,Senior,64258.05
112,2024,Senior,66955.85
112,2025,Senior,69568.81
113,2023,Senior,139632.43
113,2024,Senior,146309.14
113,2025,Senior,152636.84
114,2016,Junior,25501.44
114,2017,Mid,27541.23
114,2018,Mid,28686.95
114,2019,Mid,29722.95
114,2020,Mid,30615.46
114,2021,Mid,31761.32
114,2022,Mid,33159.01
114,2023,Mid,34657.6
114,2024,Mid,36429.07
114,2025,Mid,37733.58
115,2016,Senior,168545.25
115,2017,Senior,173489.11
115,2018,Senior,180517.3
115,2019,Senior,189981.36
115,2020,Senior,196874.01
115,2021,Senior,203449.67
115,2022,Senior,208597.28
115,2023,Senior,216733.59
115,2024,Senior,223398.21
115,2025,Senior,232093.42
116,2017,Mid,181874.37
116,2018,Mid,190758.7
116,2019,Senior,200164.62
116,2020,Lead,213737.59
116,2021,Manager,230990.9
116,2022,Manager,239964.78
116,2023,Director,268403.95
116,2024,Director,277484.94
116,2025,Director,290964.07
117,2021,Mid,69193.04
117,2022,Mid,72634.42
117,2023,Mid,76534.72
117,2024,Mid,79753.44
117,2025,Mid,81492.55
118,2024,Mid,58902.74
118,2025,Mid,62520.55
119,2014,Senior,34510.8
119,2015,Senior,35816.26
119,2016,Senior,37787.82
119,2017,Senior,38804.56
119,2018,Senior,40463.68
119,2019,Senior,42627.28
119,2020,Senior,44817.19
119,2021,Senior,46554.79
119,2022,Senior,48632.19
119,2023,Senior,50647.26
119,2024,Senior,52870.8
119,2025,Senior,54770.4
120,2015,Director,82838.11
120,2016,Director,86380.51
120,2017,Director,89976.48
120,2018,Director,93453.63
120,2019,Director,96905.95
120,2020,Director,101385.25
120,2021,Director,106953.77
120,2022,Director,111297.92
120,2023,Director,116082.67
120,2024,Director,121981.89
120,2025,Director,124613.63
121,2021,Mid,93843.43
121,2022,Senior,103351.38
121,2023,Senior,108521.8
121,2024,Senior,113707.8
121,2025,Senior,118889.59
122,2021,Manager,252455.97
122,2022,Manager,263937.39
122,2023,Manager,274468.47
122,2024,Director,283552.5
122,2025,VP,315142.69
123,2022,Mid,162622.16
123,2023,Mid,169080.2
123,2024,Mid,177621.96
123,2025,Mid,185530.48
124,2014,Mid,67086.69
124,2015,Mid,68692.26
124,2016,Mid,72165.49
124,2017,Mid,75619.74
124,2018,Mid,78594.55
124,2019,Mid,81470.1
124,2020,Mid,83388.79
124,2021,Mid,87052.27
124,2022,Mid,90596.97
124,2023,Mid,93894.06
124,2024,Mid,98936.46
124,2025,Mid,104213.8
125,2016,Lead,185248.34
125,2017,Lead,192763.16
125,2018,Lead,199500.4
125,2019,Lead,206890.27
125,2020,Lead,215756.07
125,2021,Lead,225005.22
125,2022,Lead,235192.59
125,2023,Lead,241331.8
125,2024,Lead,252839.08
125,2025,Lead,263942.16
126,2017,Junior,75948.19
126,2018,Junior,78294.77
126,2019,Junior,81677.87
126,2020,Junior,85350.83
126,2021,Junior,89358.31
126,2022,Junior,92508.59
126,2023,Junior,95820.21
126,2024,Junior,99998.37
126,2025,Junior,103421.59
127,2019,Mid,61440.55
127,2020,Mid,63935.84
127,2021,Senior,66967.78
127,2022,Lead,72576.94
127,2023,Lead,74735.36
127,2024,Manager,83414.6
127,2025,Manager,85781.45
128,2023,Mid,57928.85
128,2024,Mid,59981.25
128,2025,Mid,61532.35
129,2020,Lead,189866.52
129,2021,Lead,197361.78
129,2022,Lead,204846.51
129,2023,Manager,200076.63
129,2024,Manager,208390.74
129,2025,Manager,214508.95
130,2023,Manager,83399.93
130,2024,Manager,87176.5
130,2025,Manager,92083.76
131,2017,Mid,76841.68
131,2018,Mid,79711.57
131,2019,Senior,82141.64
131,2020,Senior,85427.84
131,2021,Senior,88548.28
131,2022,Senior,92320.06
131,2023,Senior,96478.74
131,2024,Senior,100457.11
131,2025,Senior,103851.33
132,2018,Intern,40282.04
132,2019,Junior,48324.73
132,2020,Junior,50557.51
132,2021,Junior,51987.58
132,2022,Junior,53526.57
132,2023,Mid,67330.85
132,2024,Mid,69464.05
132,2025,Senior,85338.56
133,2024,Senior,124665.2
133,2025,Lead,130379.27
134,2021,Intern,32648.23
134,2022,Intern,33845.84
134,2023,Intern,35280.33
134,2024,Intern,36541.04
134,2025,Junior,42635.13
135,2022,Senior,84426.04
135,2023,Senior,88012.01
135,2024,Senior,91791.5
135,2025,Lead,90737.63
136,2021,Junior,57116.86
136,2022,Junior,59370.56
136,2023,Mid,60639.21
136,2024,Mid,64153.29
136,2025,Mid,66975.62
137,2017,Junior,37321.31
137,2018,Mid,44744.81
137,2019,Mid,46307.79
137,2020,Mid,48041.07
137,2021,Senior,56494.09
137,2022,Senior,58335.08
137,2023,Lead,71906.1
137,2024,Lead,74320.61
137,2025,Manager,84798.34
138,2024,Mid,78787.46
138,2025,Mid,82181.07
139,2022,Mid,105244.4
139,2023,Mid,108677.12
139,2024,Mid,114189.59
139,2025,Mid,118154.04
140,2023,Lead,108258.84
140,2024,Lead,112809.27
140,2025,Lead,118325.29
141,2023,Senior,88122.18
141,2024,Senior,92583.09
141,2025,Senior,96875.53
142,2023,Junior,107920.39
142,2024,Junior,114872.2
142,2025,Junior,117738.94
143,2022,Junior,106281.59
143,2023,Mid,113156.01
143,2024,Mid,117795.93
143,2025,Mid,123533.98
144,2022,Junior,103060.35
144,2023,Junior,106433.17
144,2024,Junior,108968.76
144,2025,Junior,111633.6
145,2019,Mid,39474.13
145,2020,Mid,41367.06
145,2021,Senior,46812.48
145,2022,Senior,48828.51
145,2023,Senior,51701.38
145,2024,Senior,52974.94
145,2025,Lead,58761.59
146,2023,Junior,59400.45
146,2024,Mid,65164.07
146,2025,Senior,72688.74
147,2017,Senior,125794.35
147,2018,Senior,129784.09
147,2019,Senior,137012.96
147,2020,Senior,143745.44
147,2021,Senior,150073.71
147,2022,Senior,156478.06
147,2023,Senior,164364.8
147,2024,Senior,173350.35
147,2025,Senior,178960.18
148,2016,Mid,46229.35
148,2017,Mid,47297.05
148,2018,Mid,49899.36
148,2019,Senior,54481.25
148,2020,Senior,56374.06
